발생년도,2014 65-70세,2014 71세이상,2015 65-70세,2015 71세이상,2016 65-70세,2016 71세이상,2017 65-70세,2017 71세이상,2018 65-70세,2018 71세이상
부상자수,44,22,68,27,79,36,71,39,93,37
사고건수,62,29,68,52,74,44,82,47,81,51
사망자수,4,1,1,1,0,1,2,2,1,1
부상자수,94,46,105,60,108,56,123,53,113,67
사고건수,57,34,61,37,55,44,73,42,80,41
사망자수,0,1,3,0,1,1,0,2,0,0
부상자수,109,40,91,81,70,63,96,52,110,63
사고건수,53,42,72,28,68,33,69,34,67,49
사망자수,2,1,1,0,2,1,1,0,1,0
부상자수,66,56,107,42,102,53,103,47,98,61
사고건수,26,18,28,17,24,13,36,20,45,26
사망자수,2,2,0,1,2,0,1,2,0,1
부상자수,45,35,52,28,39,19,58,24,56,39
사고건수,46,25,36,19,47,20,56,22,59,36
사망자수,0,0,0,0,2,0,1,1,3,0
부상자수,67,39,50,22,57,22,65,29,77,46
사고건수,43,23,50,27,49,20,47,28,61,36
사망자수,1,0,0,2,0,0,1,0,0,0
부상자수,59,28,62,38,64,25,56,32,97,46
사고건수,56,20,64,25,72,42,69,32,71,46
사망자수,2,0,0,1,1,1,3,3,2,0
부상자수,71,25,96,28,107,59,83,47,97,64
사고건수,29,16,21,25,32,16,30,23,36,20
사망자수,2,0,0,0,1,0,1,1,0,2
부상자수,55,18,39,40,45,44,50,33,58,31
사고건수,57,64,76,58,77,66,77,60,95,66
사망자수,1,3,2,2,0,3,0,0,1,1
부상자수,82,82,111,82,118,98,114,77,124,90
사고건수,102,67,119,77,129,93,128,97,166,121
사망자수,0,3,0,2,0,2,3,1,3,2
부상자수,146,87,159,116,183,130,187,126,228,160
사고건수,70,36,86,55,91,72,92,87,107,70
사망자수,1,1,0,0,1,2,2,2,1,1
부상자수,91,51,123,67,132,91,124,107,153,99
사고건수,65,53,58,42,55,55,78,57,70,52
사망자수,0,0,1,2,1,0,1,2,1,0
부상자수,87,65,75,54,79,67,96,82,102,69
사고건수,123,90,135,118,153,90,142,112,178,145
사망자수,2,1,2,1,3,2,1,4,1,4
부상자수,155,125,193,158,213,129,212,144,264,192
사고건수,113,82,103,90,112,92,131,105,140,130
사망자수,2,1,3,2,1,0,3,3,2,0
부상자수,151,111,153,125,151,118,191,136,205,182
사고건수,165,88,184,103,169,98,180,109,231,140
사망자수,0,1,0,2,1,5,1,0,0,1
부상자수,229,109,277,119,233,129,268,137,346,194
사고건수,44,35,42,44,55,36,53,39,58,35
사망자수,3,0,3,3,0,1,3,3,0,1
부상자수,62,54,52,65,84,51,75,54,89,51
사고건수,11,14,24,9,17,19,19,14,34,20
사망자수,0,0,0,0,0,0,0,0,1,1
부상자수,15,21,38,9,28,26,26,25,48,25
사고건수,10,4,9,9,5,4,9,4,14,4
사망자수,0,1,0,1,0,0,0,0,0,1
부상자수,13,6,15,9,6,5,10,6,20,4
사고건수,51,34,67,46,75,38,73,39,80,47
사망자수,0,0,1,1,1,0,3,1,0,1
부상자수,75,48,98,68,93,50,87,60,117,58
사고건수,54,24,67,27,65,36,72,22,74,32
사망자수,1,1,0,0,0,1,0,0,0,0
부상자수,66,35,85,42,84,49,129,32,107,42
사고건수,84,33,100,52,106,53,96,49,114,58
사망자수,1,1,2,1,3,2,2,1,1,0
부상자수,128,45,162,90,166,90,157,71,179,85
사고건수,46,25,58,20,79,27,71,42,59,37
사망자수,2,3,2,2,1,1,2,2,1,1
부상자수,58,33,78,31,143,41,96,60,87,61
사고건수,21,13,28,19,26,17,33,15,35,20
사망자수,1,0,0,0,0,0,0,0,0,0
부상자수,25,20,43,28,42,28,42,25,53,23
사고건수,38,18,44,17,38,25,25,28,48,20
사망자수,1,1,0,2,1,1,1,1,1,0
부상자수,48,31,63,18,49,32,30,33,62,26
사고건수,11,16,17,23,15,18,21,17,22,19
사망자수,0,0,0,1,1,3,1,1,0,3
부상자수,14,33,26,28,20,18,25,29,38,21
사고건수,-,2,5,2,1,4,1,3,2,3
사망자수,-,0,0,1,0,1,0,0,1,0
부상자수,-,3,6,2,1,13,1,6,1,4
사고건수,43,42,40,43,33,26,45,37,41,27
사망자수,0,1,1,2,2,0,1,2,0,0
부상자수,70,52,59,70,43,34,77,61,64,44
사고건수,86,45,95,66,118,61,132,59,132,86
사망자수,0,0,1,2,1,0,2,2,1,0
부상자수,132,82,149,105,175,95,204,82,208,137
사고건수,126,78,119,71,130,98,149,123,189,116
사망자수,1,3,1,2,1,1,4,1,4,1
부상자수,190,106,200,101,211,143,237,187,282,184
사고건수,74,50,69,62,88,40,82,63,125,80
사망자수,0,1,2,2,4,1,3,3,2,6
부상자수,147,81,114,90,137,61,105,87,200,117
사고건수,54,37,53,26,64,36,64,46,77,41
사망자수,2,2,2,0,1,1,2,0,1,0
부상자수,88,56,82,33,113,47,127,80,115,74
사고건수,52,36,74,53,75,42,86,68,103,85
사망자수,1,1,4,2,3,2,0,3,2,2
부상자수,71,42,110,68,125,50,129,101,143,110
사고건수,77,36,69,42,83,76,107,73,90,81
사망자수,1,3,2,1,2,1,1,0,1,1
부상자수,109,50,111,64,133,111,173,96,130,124
사고건수,79,38,87,58,115,58,123,89,145,87
사망자수,2,0,0,0,1,0,0,1,0,1
부상자수,125,58,140,97,185,84,176,152,206,120
사고건수,40,23,64,33,95,61,108,63,140,58
사망자수,1,2,1,0,2,2,2,0,2,0
부상자수,65,34,90,61,162,89,187,106,220,94
사고건수,24,11,54,14,57,38,64,38,53,32
사망자수,1,0,1,0,3,6,0,0,1,1
부상자수,43,16,76,19,77,83,95,59,61,37
사고건수,44,31,55,41,55,40,54,47,60,54
사망자수,1,1,2,0,0,0,1,0,1,0
부상자수,62,37,84,59,78,51,73,73,71,67
사고건수,65,30,66,40,62,40,69,41,81,52
사망자수,1,1,2,3,1,1,1,1,1,1
부상자수,116,41,103,49,81,58,109,52,110,75
사고건수,31,9,20,13,16,16,23,19,28,23
사망자수,0,0,1,0,0,0,0,0,0,0
부상자수,43,11,26,14,19,19,31,24,33,25
사고건수,23,18,27,20,33,22,25,18,46,18
사망자수,1,1,1,0,0,0,2,0,0,1
부상자수,33,23,50,28,68,29,47,22,65,24
사고건수,37,32,55,43,38,34,70,45,47,39
사망자수,0,4,4,2,3,2,1,0,3,1
부상자수,55,55,84,64,56,60,115,69,86,54
사고건수,13,27,18,28,17,19,33,22,51,39
사망자수,2,2,1,6,0,4,0,1,2,5
부상자수,17,37,31,30,22,24,45,26,68,43
사고건수,181,91,178,124,206,146,256,160,260,161
사망자수,1,2,3,2,3,0,1,1,5,2
부상자수,252,138,258,178,281,203,380,226,359,197
사고건수,129,84,162,97,197,111,210,127,234,168
사망자수,3,1,1,0,2,1,5,0,0,1
부상자수,169,113,231,139,294,163,305,182,366,252
사고건수,70,56,100,52,90,40,92,59,123,73
사망자수,3,0,0,3,0,1,4,0,1,2
부상자수,93,66,154,80,142,54,146,92,211,105
사고건수,73,50,104,55,102,55,119,55,108,72
사망자수,2,2,0,2,3,0,0,1,0,3
부상자수,102,67,152,81,154,78,155,91,157,118
사고건수,103,56,171,83,149,89,157,108,202,105
사망자수,1,2,7,2,0,2,4,1,5,2
부상자수,130,68,255,128,213,112,198,145,265,127
사고건수,99,46,111,76,118,97,142,91,168,122
사망자수,1,0,6,4,0,2,2,3,1,2
부상자수,147,77,149,100,165,141,208,112,276,205
사고건수,117,55,125,114,122,100,146,123,184,142
사망자수,4,2,3,8,2,5,3,6,1,2
부상자수,201,79,233,170,194,138,225,161,301,214
사고건수,35,21,70,35,67,36,65,30,78,46
사망자수,0,2,1,0,1,1,0,0,2,0
부상자수,55,27,106,54,97,51,84,47,119,57
사고건수,25,18,31,23,39,23,36,35,36,36
사망자수,0,1,0,0,0,1,1,1,0,1
부상자수,39,23,55,30,60,38,52,47,46,50
사고건수,50,29,54,43,60,45,67,48,62,72
사망자수,2,1,2,2,2,1,0,1,2,2
부상자수,81,43,84,62,84,62,99,71,85,107
사고건수,24,33,22,38,40,56,34,39,45,47
사망자수,1,1,0,1,1,3,1,2,1,4
부상자수,38,45,35,52,66,70,65,47,61,64
사고건수,101,60,99,53,109,76,136,99,154,91
사망자수,4,5,0,3,3,3,2,8,6,3
부상자수,150,107,160,69,184,116,235,144,263,131
사고건수,63,34,91,54,86,45,96,51,125,70
사망자수,0,3,2,1,1,1,2,0,2,0
부상자수,121,41,141,82,121,65,138,81,200,102
사고건수,81,56,82,68,76,60,97,68,98,118
사망자수,1,3,1,3,0,3,1,4,0,0
부상자수,109,73,131,99,121,83,133,98,162,164
사고건수,178,106,184,148,164,134,180,148,239,192
사망자수,3,1,5,2,3,2,3,1,1,4
부상자수,297,173,288,197,211,202,259,209,363,287
사고건수,55,36,63,47,74,57,77,49,121,79
사망자수,2,2,2,1,5,4,3,1,4,2
부상자수,82,53,77,72,104,86,108,98,186,124
사고건수,22,11,24,21,28,13,15,31,27,25
사망자수,1,0,2,1,0,2,0,1,1,1
부상자수,39,18,40,33,55,18,32,47,40,38
사고건수,54,45,76,38,60,38,54,59,65,63
사망자수,4,5,4,0,3,2,4,0,1,1
부상자수,94,77,136,81,101,53,108,98,122,109
사고건수,28,17,19,25,29,22,29,27,27,34
사망자수,1,5,0,0,3,1,3,1,2,2
부상자수,66,13,42,35,53,26,60,65,41,55
사고건수,21,30,48,47,48,38,44,50,48,58
사망자수,0,10,2,7,2,2,2,4,1,4
부상자수,28,26,74,73,83,52,69,69,65,87
사고건수,34,34,39,46,42,48,57,47,78,63
사망자수,2,2,2,3,0,7,4,6,2,2
부상자수,63,65,60,82,76,60,82,73,120,93
사고건수,106,78,151,111,142,119,166,153,182,159
사망자수,2,0,3,1,3,2,5,7,3,3
부상자수,157,98,250,163,293,182,260,257,280,222
사고건수,40,51,50,61,44,59,61,54,81,60
사망자수,1,1,4,3,2,0,2,1,1,1
부상자수,79,85,73,103,78,93,97,90,124,84
사고건수,70,44,81,72,86,75,103,66,97,113
사망자수,0,1,2,1,1,3,2,3,3,1
부상자수,109,60,123,106,127,120,145,82,165,173
사고건수,27,22,29,28,20,27,30,21,31,31
사망자수,2,1,0,0,0,0,1,1,2,1
부상자수,36,29,52,38,30,34,39,41,40,41
사고건수,8,6,12,6,7,10,14,11,16,15
사망자수,0,0,0,0,0,0,0,0,0,0
부상자수,11,7,15,9,13,11,30,19,31,21
사고건수,37,26,44,22,36,21,39,36,37,31
사망자수,0,2,0,3,0,0,3,0,0,0
부상자수,47,39,62,32,54,37,52,55,51,40
사고건수,92,49,99,78,122,103,140,98,180,114
사망자수,4,0,0,4,4,4,1,6,9,4
부상자수,151,79,148,114,231,169,206,145,286,177
사고건수,24,18,27,18,30,23,41,24,54,31
사망자수,0,2,1,0,1,0,1,2,1,0
부상자수,44,21,32,19,42,36,90,39,79,39
사고건수,20,14,25,19,34,23,23,15,32,16
사망자수,0,0,0,0,0,0,0,0,0,1
부상자수,25,15,36,23,53,27,33,22,46,24
사고건수,41,31,51,36,49,20,55,32,87,44
사망자수,0,1,1,2,0,0,2,2,4,0
부상자수,90,35,80,46,67,30,74,41,137,61
사고건수,107,93,105,105,122,112,101,112,100,111
사망자수,4,4,2,4,0,3,0,3,1,5
부상자수,155,148,193,158,203,177,149,155,162,164
사고건수,92,92,97,106,104,121,133,118,133,111
사망자수,4,2,4,5,1,2,3,5,1,0
부상자수,161,144,163,187,158,193,245,183,255,180
사고건수,30,30,51,23,33,29,27,35,34,32
사망자수,1,1,2,0,0,1,0,1,0,1
부상자수,50,46,86,36,60,45,37,43,47,42
사고건수,72,56,70,62,65,64,67,72,81,86
사망자수,2,3,1,4,2,0,3,2,2,6
부상자수,100,78,110,86,125,93,97,107,123,125
사고건수,21,21,29,26,28,26,27,25,26,34
사망자수,0,0,0,0,1,3,0,1,1,0
부상자수,28,28,56,44,47,31,46,40,43,58
사고건수,17,8,19,19,28,22,20,15,21,19
사망자수,2,0,2,0,0,0,0,0,3,1
부상자수,28,16,22,35,52,34,30,23,31,25
사고건수,32,19,28,36,34,43,32,40,41,46
사망자수,2,1,0,0,1,1,0,3,1,2
부상자수,48,33,53,75,51,83,49,69,63,66
사고건수,24,19,29,15,27,36,31,27,32,36
사망자수,1,2,2,2,1,2,3,2,0,4
부상자수,40,30,42,23,31,54,47,36,46,53
사고건수,12,12,14,21,20,23,15,15,14,17
사망자수,0,2,1,3,0,1,1,0,1,4
부상자수,28,15,24,35,36,32,41,27,26,15
사고건수,17,11,10,15,12,22,16,17,21,24
사망자수,2,0,2,1,1,2,0,0,2,2
부상자수,20,17,13,24,22,34,22,28,41,40
사고건수,16,17,7,12,15,28,21,27,8,28
사망자수,0,4,1,0,0,0,1,4,1,1
부상자수,34,47,12,19,29,48,54,52,18,46
사고건수,11,6,20,3,7,14,16,8,12,8
사망자수,1,0,1,0,0,5,0,1,1,2
부상자수,17,8,38,4,11,25,27,9,21,12
사고건수,9,12,15,18,13,18,11,20,14,16
사망자수,2,1,0,2,0,1,0,3,0,1
부상자수,12,17,21,33,22,27,15,26,24,21
사고건수,4,5,3,5,4,10,5,11,8,5
사망자수,1,1,0,1,0,2,0,0,0,1
부상자수,3,11,3,7,4,11,8,17,10,5
사고건수,5,5,4,6,2,7,10,13,4,8
사망자수,2,0,0,0,0,0,1,0,1,2
부상자수,7,19,7,7,3,11,14,23,5,10
사고건수,3,8,7,10,15,11,6,14,2,10
사망자수,1,0,0,2,0,1,0,2,0,1
부상자수,5,18,33,20,24,16,10,26,5,15
사고건수,12,7,11,21,15,10,10,6,13,15
사망자수,1,1,1,4,1,0,0,0,2,3
부상자수,20,6,20,29,23,22,16,7,21,26
사고건수,13,8,26,14,9,10,16,13,18,13
사망자수,0,0,2,0,0,1,0,1,1,2
부상자수,37,14,39,24,10,17,25,22,23,24
사고건수,169,142,210,176,225,218,305,212,336,289
사망자수,5,3,3,5,1,4,7,4,8,9
부상자수,271,231,321,267,371,308,474,306,567,464
사고건수,80,74,78,94,86,90,90,99,86,96
사망자수,2,7,14,6,5,8,4,3,8,2
부상자수,125,111,121,139,124,162,128,142,144,140
사고건수,56,53,50,56,67,78,70,74,74,92
사망자수,2,2,1,2,2,2,0,1,3,3
부상자수,97,86,94,85,120,128,119,116,124,172
사고건수,17,22,-,-,-,-,-,-,-,-
사망자수,3,2,-,-,-,-,-,-,-,-
부상자수,16,31,-,-,-,-,-,-,-,-
사고건수,10,21,7,17,11,20,16,17,18,29
사망자수,0,5,0,2,0,2,3,3,0,0
부상자수,13,20,12,25,27,26,26,20,28,40
사고건수,13,21,20,29,24,25,30,26,26,30
사망자수,2,2,1,3,0,1,1,2,1,1
부상자수,23,27,26,41,34,32,43,36,42,38
사고건수,15,22,17,20,25,14,20,23,21,23
사망자수,1,4,3,0,3,1,0,2,0,3
부상자수,20,31,16,29,35,16,28,32,23,26
사고건수,14,20,25,26,23,32,33,30,33,35
사망자수,0,1,1,0,1,4,1,0,1,1
부상자수,17,28,39,38,30,40,57,43,49,44
사고건수,11,21,16,16,13,27,18,15,19,42
사망자수,1,1,1,5,1,2,3,0,1,5
부상자수,13,28,37,17,15,34,24,29,34,59
사고건수,26,35,35,30,36,39,39,36,63,50
사망자수,1,3,5,3,1,5,4,4,1,0
부상자수,41,64,55,45,59,63,63,54,98,95
사고건수,18,10,12,15,6,12,16,14,11,15
사망자수,1,0,2,0,0,1,0,0,0,1
부상자수,39,20,14,21,14,21,27,20,13,22
사고건수,16,14,13,19,18,18,11,10,20,16
사망자수,1,0,0,2,0,0,0,0,0,0
부상자수,26,20,22,23,27,26,18,20,35,22
사고건수,84,54,86,61,91,90,123,91,129,116
사망자수,2,3,4,6,0,4,4,4,4,6
부상자수,117,76,160,71,142,124,158,123,191,152
사고건수,26,24,47,34,57,55,53,47,47,34
사망자수,2,4,4,1,1,4,4,7,4,4
부상자수,45,32,64,42,70,60,79,62,63,43
사고건수,30,23,38,51,32,42,43,41,31,26
사망자수,3,3,1,6,3,4,1,6,0,1
부상자수,47,25,63,67,56,57,59,51,44,42
사고건수,22,25,23,33,31,33,52,49,54,61
사망자수,1,4,2,3,1,3,1,1,2,5
부상자수,24,29,33,35,53,38,106,83,99,83
사고건수,33,46,38,44,34,66,49,57,67,77
사망자수,1,3,1,6,2,6,3,4,2,7
부상자수,47,51,65,51,41,87,75,63,108,103
사고건수,16,32,20,24,24,32,18,25,19,24
사망자수,0,2,2,3,2,2,0,2,0,5
부상자수,26,45,33,35,33,43,24,32,32,32
사고건수,24,36,33,22,35,27,45,42,27,51
사망자수,3,1,1,3,3,1,0,3,0,7
부상자수,28,40,51,26,48,31,78,58,55,79
사고건수,42,44,48,55,48,49,47,66,37,49
사망자수,2,2,1,4,4,2,3,6,4,4
부상자수,63,75,78,70,81,77,63,89,56,62
사고건수,23,44,32,29,18,19,24,30,23,31
사망자수,3,2,0,2,2,7,1,1,1,6
부상자수,24,53,46,38,21,16,29,42,44,28
사고건수,28,55,30,54,65,44,53,47,35,59
사망자수,1,6,1,4,1,5,3,2,3,2
부상자수,47,65,50,79,107,64,79,75,51,82
사고건수,15,28,20,28,10,30,13,35,18,31
사망자수,1,0,1,1,1,4,0,1,3,4
부상자수,20,47,34,47,11,32,30,44,33,35
사고건수,35,38,29,40,38,44,35,46,31,28
사망자수,4,6,7,3,1,5,2,4,7,2
부상자수,50,47,37,58,67,57,55,66,52,37
사고건수,49,36,38,37,30,28,36,68,40,69
사망자수,2,2,1,0,4,3,0,4,3,5
부상자수,85,61,73,51,32,35,67,99,52,94
사고건수,31,23,52,55,43,60,60,51,56,59
사망자수,1,5,1,1,1,4,1,3,3,6
부상자수,36,26,83,71,51,79,104,69,90,84
사고건수,4,6,3,3,9,5,6,5,5,5
사망자수,1,0,0,0,0,0,0,0,0,0
부상자수,7,12,3,4,13,6,10,7,11,9
사고건수,140,90,146,107,146,90,139,107,171,119
사망자수,4,2,1,10,4,6,5,4,4,4
부상자수,225,124,230,172,259,121,213,161,252,168
사고건수,121,92,138,96,111,86,115,95,110,66
사망자수,5,4,2,6,4,1,2,1,3,2
부상자수,197,117,226,127,184,118,159,117,160,89
사고건수,61,55,41,70,55,72,72,84,64,103
사망자수,6,3,4,5,2,6,5,4,1,4
부상자수,81,64,56,88,100,114,111,117,93,145
사고건수,28,44,27,29,34,34,30,35,33,50
사망자수,1,6,6,4,7,2,2,7,5,10
부상자수,46,64,45,33,44,40,44,39,43,48
사고건수,29,37,41,38,45,50,57,57,48,45
사망자수,1,2,1,5,2,2,5,5,4,5
부상자수,42,55,66,51,72,77,99,78,76,56
사고건수,27,23,36,25,32,35,15,16,23,18
사망자수,1,8,2,2,3,2,1,5,3,2
부상자수,47,30,63,45,51,49,21,18,44,35
사고건수,10,19,10,17,12,14,2,11,7,12
사망자수,0,1,0,1,0,0,0,3,0,1
부상자수,14,24,21,25,31,23,6,10,9,17
사고건수,6,10,6,8,8,17,14,20,14,16
사망자수,1,4,1,2,0,1,1,3,1,5
부상자수,6,6,9,9,9,27,24,25,25,15
사고건수,13,9,5,4,4,10,9,8,7,12
사망자수,1,0,0,0,0,2,0,4,0,0
부상자수,25,10,8,8,7,10,13,4,11,18
사고건수,9,8,20,9,18,8,13,8,8,10
사망자수,1,1,1,2,0,2,2,1,0,1
부상자수,10,11,27,16,30,10,17,15,14,17
사고건수,17,22,12,30,17,20,21,26,11,20
사망자수,1,1,0,5,1,4,2,2,0,1
부상자수,28,35,20,42,25,25,25,35,16,19
사고건수,19,35,23,26,28,23,17,17,14,15
사망자수,1,1,3,5,3,1,1,1,2,6
부상자수,30,43,36,36,42,29,28,24,21,18
사고건수,24,39,45,56,42,50,47,62,32,55
사망자수,2,4,3,4,2,5,3,4,1,1
부상자수,46,49,77,101,79,82,81,83,49,80
사고건수,117,77,95,86,109,83,98,80,82,88
사망자수,6,3,1,3,1,3,5,4,2,6
부상자수,199,106,139,116,164,106,150,110,124,131
사고건수,80,51,105,56,91,44,96,85,109,108
사망자수,1,2,1,2,1,1,3,0,1,2
부상자수,127,96,186,87,145,74,152,131,180,182
사고건수,65,47,97,41,98,44,119,65,121,78
사망자수,5,5,4,2,3,5,6,7,4,1
부상자수,91,55,149,60,145,48,162,97,171,106
사고건수,80,64,88,74,87,71,119,83,87,100
사망자수,3,3,3,3,4,1,4,5,0,5
부상자수,129,83,147,103,128,101,195,117,131,139
사고건수,49,59,46,59,60,50,46,55,63,68
사망자수,3,5,7,1,3,4,3,4,4,7
부상자수,101,76,71,92,102,93,79,79,123,92
사고건수,33,30,48,39,37,42,41,31,41,39
사망자수,0,3,2,1,0,5,2,0,4,1
부상자수,42,38,61,57,60,60,63,48,56,61
사고건수,19,28,39,39,20,34,28,33,39,40
사망자수,2,0,2,3,2,5,0,4,3,2
부상자수,26,41,68,80,35,58,50,42,64,50
사고건수,18,11,16,16,15,16,12,31,20,25
사망자수,0,1,0,0,1,4,1,4,0,1
부상자수,30,11,29,21,21,21,18,49,30,28
사고건수,10,17,11,20,11,28,12,24,11,17
사망자수,0,1,0,2,1,4,0,0,2,2
부상자수,14,19,21,26,16,36,22,30,12,19
사고건수,35,40,30,30,31,44,37,47,31,55
사망자수,2,9,3,0,2,1,1,4,2,3
부상자수,46,49,52,41,36,56,49,72,35,74
사고건수,27,34,17,38,28,31,29,37,46,43
사망자수,0,3,0,4,2,0,1,7,0,3
부상자수,48,46,36,50,47,39,31,46,75,61
사고건수,21,26,24,33,22,29,22,28,26,38
사망자수,1,1,1,5,0,4,3,0,1,1
부상자수,45,35,40,48,45,42,29,47,49,68
사고건수,25,30,30,36,32,31,31,39,38,43
사망자수,1,4,1,1,2,4,2,4,1,3
부상자수,43,34,44,53,53,48,46,44,60,57
사고건수,31,30,17,38,25,48,41,43,31,46
사망자수,1,2,1,2,0,3,2,1,1,2
부상자수,52,40,24,48,41,70,64,73,57,79
사고건수,30,41,36,36,36,57,36,52,34,59
사망자수,4,7,1,5,3,7,3,7,2,7
부상자수,61,55,63,48,64,90,69,68,60,66
사고건수,32,43,45,44,40,44,30,51,51,49
사망자수,5,4,4,2,4,3,1,2,0,11
부상자수,66,59,82,83,66,69,45,83,96,77
사고건수,56,30,38,34,39,43,40,39,33,36
사망자수,1,4,0,1,0,1,5,2,2,1
부상자수,110,46,65,42,72,78,54,62,45,57
사고건수,10,23,18,18,18,24,22,32,15,44
사망자수,0,1,2,1,1,3,1,2,2,1
부상자수,25,40,49,22,42,45,42,48,25,63
사고건수,28,34,27,33,32,42,27,41,24,41
사망자수,4,3,4,6,0,6,1,2,2,1
부상자수,36,44,42,43,61,71,40,57,31,63
사고건수,23,20,25,15,16,23,35,33,22,23
사망자수,0,1,1,0,0,1,3,1,1,2
부상자수,49,39,37,25,34,37,49,46,33,49
사고건수,8,10,15,22,19,28,21,18,18,20
